	language_label	profession	wikipedia_link	image_link
574	qu	Philosoph	http://qu.wikipedia.org/wiki/Yachay_wayllukuq	http://upload.wikimedia.org/wikipedia/commons/3/36/Rembrandt_Harmensz._van_Rijn_038.jpg
575	ru	Philosoph	http://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/2/29/UWASocrates_gobeirne_cropped.jpg
576	ru	Philosoph	http://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/9/98/Sanzio_01_Plato_Aristotle.jpg
577	ru	Philosoph	http://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg
578	ru	Philosoph	http://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/2/2c/Broom_icon.svg
579	ru	Philosoph	http://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/4/43/Immanuel_Kant_%28painted_portrait%29.jpg
580	ru	Philosoph	http://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg
581	sco	Philosoph	http://sco.wikipedia.org/wiki/Filosopher	-
582	sh	Philosoph	http://sh.wikipedia.org/wiki/Filozof	http://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg
583	simple	Philosoph	http://simple.wikipedia.org/wiki/Philosopher	http://upload.wikimedia.org/wikipedia/commons/f/f8/Wiktionary-logo-en.svg
584	sk	Philosoph	http://sk.wikipedia.org/wiki/Filozof	http://upload.wikimedia.org/wikipedia/commons/1/14/Northern_Spotted_Owl.USFWS-thumb.jpg
585	sl	Philosoph	http://sl.wikipedia.org/wiki/Filozof	-
586	sr	Philosoph	http://sr.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D0%B7%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/7/72/Disambig.svg
