,l_m_without_outliers,NormalizedGoogleDif2,intercept,Bias2
Medientechnologe Druckverarbeitung,36.6999465145,0.665850073493,1,0
Textillaborant,59.1680426246,0.699650756694,1,0
Maschinen- und Anlagenführer,12.501779731,0.94217751629,1,0
Dramaturg,51.4743851067,0.853379879403,1,0
Produktgestalter Textil,84.0716305372,0.351778656126,1,0
Fotomedienfachmann,39.4658181468,0.388684790595,1,0
Büromaschinenmechaniker,11.4381605553,0.910313901345,1,0
Konstruktionsmechaniker,2.2858399983,0.928934010152,1,0
Polizeivollzugsbeamter,52.8379772962,0.62494095418,1,0
Notenstecher,50.1462693284,0.906896551724,1,0
Musikverleger,32.6357466063,0.962504986039,1,0
Holzbearbeitungsmechaniker,11.5013019049,0.9256381798,1,0
Systemprogrammierer,12.3967931919,0.888553390063,1,0
Bühnenmeister,19.2571659265,0.91473448018,1,0
Mediengestalter,50.1462693284,0.699819168174,1,0
Illusionist,19.2592592593,0.99785970377,1,0
Papiertechnologe,5.19575856444,0.744711195626,1,0
Tierarzt,72.8797953964,0.728571428571,1,0
Fachwirt,59.7982510844,0.69933396765,1,0
Mathematisch-Technischer Assistent,12.3967931919,0.258409785933,1,0
Ordensbruder,62.5711035267,-0.476293103448,1,0
Musikfachhändler,33.5901386749,0.817338896616,1,0
Bootsmann,3.8146208153,0.964876773554,1,0
Finanzmakler,44.3380220021,0.928205128205,1,0
Komiker,54.5454545455,0.74875484228,1,0
Rechtsanwalt,46.2251399884,0.625492302184,1,0
Gärtner,21.8356761854,0.701466781708,1,0
Forstfacharbeiter,5.09963399756,0.892271662763,1,0
Professor,42.812488391,0.991310644461,1,0
Umweltgutachter,41.0920869968,0.900943396226,1,0
Flechtwerkgestalter,59.0717299578,0.7137196632,1,0
Fotolaborant,57.881773399,0.281464530892,1,0
Arbeitserzieher,68.3097468018,0.77565849228,1,0
Chemikant,26.7838353922,0.838016528926,1,0
Detektiv,14.3413873733,0.952277657267,1,0
Polier,1.0979692033,0.988797051472,1,0
Anlagenmechaniker,3.29425467804,0.954667863555,1,0
Stuntman,41.5165165165,0.892034464568,1,0
Gehilfe,76.2525479477,0.550387596899,1,0
Bodenleger,0.557103064067,0.984723642269,1,0
Personalreferent,66.3964145433,0.441002949853,1,0
Handschuhmacher,48.3291210334,0.892573900505,1,0
Schiffsmakler,42.1270978691,0.981960312688,1,0
Glasschneider,22.984008166,0.999666722213,1,0
Sportlehrer,44.6119065561,0.535181236674,1,0
Industriemechaniker,13.3411949814,0.928468850441,1,0
Tischler,3.90146033877,0.980405731428,1,0
Philosoph,54.4837441944,0.869728209934,1,0
Fachtierarzt,72.8797953964,0.500635862654,1,0
Mitarbeiter,34.1969853683,0.879263740507,1,0
Versicherungsfachmann,53.568518232,0.610134859011,1,0
Psychologe,77.9567882775,0.469456066946,1,0
Landwirt,21.5765899789,0.947547353084,1,0
Stallmeister,67.2918572736,0.969743121129,1,0
Schilder- und Lichtreklamehersteller,34.2415730337,0.820901902116,1,0
Verpackungsmittelmechaniker,17.5711352303,0.816431322208,1,0
Host,58.3260838046,0.87717553456,1,0
Fachmann,71.6330078909,0.781443298969,1,0
Orthopädietechnik-Mechaniker,29.4536817102,0.830282861897,1,0
Maschinenbauingenieur,9.54682779456,0.923859343214,1,0
Kapitän,4.49203447375,0.96463654224,1,0
Restaurator,2.2858399983,0.72619047619,1,0
Schiffsmechaniker,6.19822907741,0.797752808989,1,0
Schiffbauingenieur,6.19822907741,0.948618516723,1,0
Umweltschutztechnischer Assistent,31.4682116176,0.336617405583,1,0
Bohrwerkdreher,2.73770282356,0.933701657459,1,0
Zauberer,19.2592592593,0.812895501967,1,0
Vergolder,12.6353874883,0.789819376026,1,0
Arbeitsvermittler,66.3964145433,0.645133505599,1,0
Erntehelfer,21.5765899789,0.915119363395,1,0
Systemelektroniker,11.4381605553,0.907894736842,1,0
Pyrotechniker,5.76271186441,0.962833914053,1,0
Haus- und Familienpfleger,81.0310203384,0.572212065814,1,0
Altenpflegehelfer,85.0894719246,0.420560747664,1,0
Patentingenieur,19.2801844836,0.819641423602,1,0
Touristikassistent,82.1267850182,0.146376125059,1,0
Goldschmied,60.9995903318,0.940503432494,1,0
Wachleiter,14.3865948534,0.961206896552,1,0
Gesundheits- und Krankenpfleger,84.9596721778,0.495477386935,1,0
Künstlerischer Leiter,40.1872883044,0.583333333333,1,0
Redenschreiber,47.7832512315,0.903157060019,1,0
Fußballtrainer,7.80452224654,0.966685033696,1,0
Systeminformatiker,11.4381605553,0.830269847478,1,0
Chefredakteur,31.7397555715,0.622980251346,1,0
Prozessleitelektroniker,6.35842667361,0.92007992008,1,0
Fluglotse,30.8085212408,0.791798107256,1,0
Fotomedienlaborant,57.881773399,0.339285714286,1,0
Strahlenschutzbeauftragter,8.21409644939,0.133220910624,1,0
Isolierfacharbeiter,1.2101210121,0.841726618705,1,0
Kfz-Mechatroniker,3.97341840672,0.940639269406,1,0
Datentypist,79.4443583916,0.309352517986,1,0
Fachverkäufer im Lebensmittelhandwerk,72.0206153296,0.399317406143,1,0
Feintäschner,48.3291210334,0.896907216495,1,0
Präparator,51.5706806283,0.827888878834,1,0
Metallbildner,14.0532544379,0.892531260561,1,0
Küchenchef,18.02864773,0.911652703732,1,0
Straßenbauer,0.528109028961,0.964346841509,1,0
Fotograf,64.1671278362,0.920249113398,1,0
Syndikus,46.2251399884,0.754985754986,1,0
Verleger,34.1969853683,0.867529880478,1,0
Softwareentwickler,12.3967931919,0.991208626066,1,0
Schriftgießer,4.20514511873,0.969407265774,1,0
Dozent,51.7249764431,0.418952618454,1,0
Kesselwärter,12.501779731,0.978021978022,1,0
Orgelbauer,9.93690851735,0.98239514757,1,0
Bautechniker,22.5084770306,0.898734177215,1,0
Pfarrer,30.0088759784,0.789401238816,1,0
Weinhandelsküfer,12.1335504886,0.822222222222,1,0
Rauchwarenzurichter,65.6862745098,0.582089552239,1,0
Arrangeur,31.8181818182,0.9825708061,1,0
Datentechnischer Assistent,11.4381605553,0.652173913043,1,0
Gruppenleiter,25.9924816691,0.620057859209,1,0
Mechatroniker,6.22845803015,0.915820029028,1,0
Heilgehilfe,84.9596721778,0.796875,1,0
Industriekeramiker Dekorationstechnik,75.4844144903,0.529411764706,1,0
Feldwebel,43.2896890344,0.99863364188,1,0
Filmregisseur,50.9119332986,0.878619994963,1,0
Ethnologe,64.6258503401,0.186046511628,1,0
Qualitätsfachmann,27.7924731183,0.770956316411,1,0
Landarbeiter,21.5765899789,0.920255183413,1,0
Klavierstimmer,16.3310961969,0.96613872201,1,0
Kaufmann für Verkehrsservice,54.3373493976,0.510288065844,1,0
Futtermeister,31.1584553928,0.904761904762,1,0
Bauwerksabdichter,0.942760942761,0.887179487179,1,0
Gleisbauer,0.642715886618,0.923895462671,1,0
Manager,21.1018907961,0.995921378054,1,0
