,all_men,men_-17th,men_17-18th,men_18-19th,men_1900_1940,men_1940,men_1960,all_women,women_-17th,women_17-18th,women_18-19th,women_1900_1940,women_1940,women_1960,m_ratio,m_ratio_1960,m_ratio_1940,m_ratio_1900_1940,m_ratio_18-19th,m_ratio_17-18th,m_ratio_-17th,m_ratio_before1960
Liedermacher,76.0,0.0,0.0,1.0,18.0,57.0,11.0,7.0,0.0,0.0,0.0,3.0,4.0,1.0,0.915662650602,0.916666666667,0.934426229508,0.857142857143,1.0,,,0.915492957746
Literat,6.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,1.0,,,1.0
Magd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0
Maler und Lackierer,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,1.0,,,1.0
Maskenbildner,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,1.0
Mathematiker,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.666666666667,,,,0.0,1.0,1.0,0.666666666667
Mediaberater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,
Metallblasinstrumentenmacher,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,1.0,1.0,,1.0
Missionar,63.0,15.0,9.0,32.0,3.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.984375,1.0,1.0,1.0,0.969696969697,1.0,1.0,0.984126984127
Mitarbeiter,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.0,,,,,1.0
Model,18.0,2.0,0.0,2.0,3.0,11.0,9.0,61.0,0.0,0.0,0.0,7.0,54.0,36.0,0.227848101266,0.2,0.169230769231,0.3,1.0,,1.0,0.264705882353
Moderator (Beruf),3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.75,,,,,1.0
